"ID","MOVIE_ID","DISTRIBUTOR_ID","REVENUE_DATE","REVENUE","THEATERS"
b8bc9b8a-2953-40ed-ba1a-4b371b52786c,"8db75817-5739-4033-90ea-37f507f53cd6",dabbb051-cf09-4b4f-9dc4-8440b1aa6d33,2017-08-16 00:00:00.000,2611,
"7369e17b-6e25-4239-95c5-68f5d7fcfc4c","1270e268-8e6d-462d-9bee-cdf33643e62c","36476fa3-62ae-4b2c-99fa-e143cd621788",2017-08-16 00:00:00.000,1739,
"9ef0ab2b-bc63-4c6e-b65e-b540c86bb1a9","7f670b00-1ed6-4b9a-b36c-490e41158802","36476fa3-62ae-4b2c-99fa-e143cd621788",2017-08-16 00:00:00.000,530,
"36c809ac-ba4b-4dc0-bcfc-a938b334f708","7dc544df-a4ea-421b-8760-aee6962835cc","38e415e0-c594-414f-afc8-42a8249c8744",2017-08-16 00:00:00.000,457,
ada4ffcf-da69-483a-98ba-899e15646e68,"0bec6425-b97b-477a-b183-6174112150cf","0ac4503a-9d16-4b8c-8ec7-f190afd921e5",2017-08-16 00:00:00.000,399,
ac3b1250-0db5-48c8-ab1d-071e6c1b9928,ffd292e1-4479-48a2-a17c-9449787ef66e,"63400b09-faf9-4a81-be30-52e2182a0f90",2017-08-16 00:00:00.000,372,
a77341b1-a8dd-4bf6-8737-447356eb6668,"9cfc476d-a2ca-4667-ad1e-e6693d8304f1",b70a2d93-ad65-40d7-9d8b-f121ce2dc1b3,2017-08-16 00:00:00.000,238,
c88b7b41-d57f-4eb8-8906-8be74eefc4f7,"557f2c50-470b-4c74-add0-151550116322","0ac4503a-9d16-4b8c-8ec7-f190afd921e5",2017-08-16 00:00:00.000,102,
"13fe3bb9-45cb-4428-b28c-330abd1f9dab","094a1f6e-dfc7-48f0-a5dd-e06b19665ebe","7304f673-e3cd-45f3-8f54-7223467d65d2",2017-08-16 00:00:00.000,15,
a988b7b5-f674-4a22-ab32-28c141092a4d,"133893ac-6240-4da1-8c76-6fcb8fe01308",b241a656-1e73-456c-aeab-4066e6d8fcd0,2002-09-07 00:00:00.000,4932608,
"98538c58-46c1-49ea-a251-aa1fc1555316","24ee0b34-d981-456a-9dc6-46cc0796ebbe","807803e5-6f30-450b-ad49-3cce6a7c0876",2002-09-07 00:00:00.000,3754550,
bf07157c-67a3-4c02-99ff-7ae04f478178,afb66562-833a-4bbf-b4d2-85c9126dd8cf,d15b1b0c-7aba-4dd8-b181-efbd776b3f3e,2002-09-07 00:00:00.000,3738191,
"9609ad14-d440-48a0-a65b-ab43630c5de1","24ee0b34-d981-456a-9dc6-46cc0796ebbe","807803e5-6f30-450b-ad49-3cce6a7c0876",2002-09-21 00:00:00.000,1676506,
c9c4bbcd-5aa0-49e0-9de5-66a6f25d5bb1,"133893ac-6240-4da1-8c76-6fcb8fe01308",b241a656-1e73-456c-aeab-4066e6d8fcd0,2002-09-21 00:00:00.000,1614975,
"9b9970ce-7797-492a-927a-63060a0f7d41",afb66562-833a-4bbf-b4d2-85c9126dd8cf,d15b1b0c-7aba-4dd8-b181-efbd776b3f3e,2002-09-21 00:00:00.000,924325,
efed3700-1e6b-4ce1-82c8-12fb7efd2b3a,"24ee0b34-d981-456a-9dc6-46cc0796ebbe","807803e5-6f30-450b-ad49-3cce6a7c0876",2002-08-17 00:00:00.000,8035430,
f9baaabe-c262-4ca9-b77e-a8c952118fb3,"9b4762bd-017e-436e-9f6a-f0f9c0c59f2c","9f10d01c-6b31-4081-a010-5c028ac4b329",2004-12-15 00:00:00.000,19911,
bc9901bd-2213-4b8f-8d29-5c6e4d02d75e,"21b1fc93-895f-4134-80a4-cb2d7f05b105","9f10d01c-6b31-4081-a010-5c028ac4b329",2004-12-15 00:00:00.000,5968,
"657585aa-27b0-4f4b-910d-881ccb649988","5e4bb3ab-150d-4bbf-aac7-c247a4377157","299a430f-af36-4094-9ebd-b349d9a106ca",2004-12-15 00:00:00.000,5436,
d25be50e-3034-478c-8a35-4ca4d98f4a21,"7fef13e1-9628-4b7b-8d60-bddcce3fc5a4","299a430f-af36-4094-9ebd-b349d9a106ca",2004-12-15 00:00:00.000,1566,
"494a2d4f-8af7-465d-90ef-baaf0e4eee0f",da0d23e4-876a-4702-a275-d22fbef09258,"0b6bc63d-565f-4fdc-b56c-8febca5c3e99",2004-12-15 00:00:00.000,40,
b5e45287-fc44-45c8-80db-8c154f790d6a,"1054c45d-99c4-4440-8751-a187e95ccbb4","0b6bc63d-565f-4fdc-b56c-8febca5c3e99",2004-12-15 00:00:00.000,2,
"26017d2b-30d0-48f9-ad4e-86de9320ada3","5e4bb3ab-150d-4bbf-aac7-c247a4377157","299a430f-af36-4094-9ebd-b349d9a106ca",2004-09-05 00:00:00.000,2607865,
a84e4dcf-6dfa-4be7-8db5-481fd402fcf8,"0a6501e5-847e-493f-9bba-4f93fb832fb1",b241a656-1e73-456c-aeab-4066e6d8fcd0,2004-09-05 00:00:00.000,2161172,
"8b255e1f-08d5-427a-910a-791b4b9609b7","650f9bde-9b79-4295-898f-77eb6f594cde","957470e9-b81f-476a-ad12-017be527e8b5",2004-09-05 00:00:00.000,1947125,
fefb1fb7-1271-4a2c-b042-be00556694cb,c63bf382-c3b3-4ced-964a-915ecd1598a3,"2843daa6-c152-43b4-bac9-9449aac5dde4",2004-09-05 00:00:00.000,1838458,
"1ed6a3ef-84da-4de9-bc7f-e11765e53242","3ff30fe1-5188-4c06-b17b-1a37480c9abe",d5423c4b-b87d-4c1f-8880-f1be655b3a11,2004-09-05 00:00:00.000,1674000,
"03de768f-21d8-4042-9084-3065e067bb68","60fd7283-1a15-49a3-9ee6-95f4acd87015","47dda236-38de-4c16-a853-ef05391e3a8c",2004-09-05 00:00:00.000,1571055,
"99eefe26-2c98-4fc9-9ef1-1e3b2848ff11","21b1fc93-895f-4134-80a4-cb2d7f05b105","9f10d01c-6b31-4081-a010-5c028ac4b329",2004-09-05 00:00:00.000,1130884,
"198590d4-b69e-4490-98da-c1f0a54800c6","9b4762bd-017e-436e-9f6a-f0f9c0c59f2c","9f10d01c-6b31-4081-a010-5c028ac4b329",2004-09-05 00:00:00.000,1022910,
"6064fb43-5d46-4fb8-bc8c-1d802f1c3298","0a697dc6-7be3-4566-896a-3fd7f0360350","299a430f-af36-4094-9ebd-b349d9a106ca",2004-09-05 00:00:00.000,779319,
edcd6a95-1cf4-4d34-9c2a-406fad6996cb,fbbfc30b-bb55-4d6f-9298-46ced5af435a,d15b1b0c-7aba-4dd8-b181-efbd776b3f3e,2004-09-05 00:00:00.000,163730,
